Subject,Style,Trial,Jump Height (Impulse),sqrt JH,Jump Height (Flight),Bodyweight,GRF Impulse (Normalized),Net Impulse (Normalized),Concentric GRF Impulse (Normalized),Concentric Net Impulse (Normalized),GRF_Max (Normalized),Net F_Max (Normalized),GRF at Bottom (Normalized),Average Power (Normalized),Peak Power (Normalized),Depth,Contact Time,RSI (Impulse),RSI (Flight)
1,SF,1,0.345348071,0.587663229,0.438362158,85.96080296,10.62118935,5.472698102,5.143996505,2.613880805,29.00961734,19.20296734,28.02416819,0.029491552,0.051561425,0.534271949,0.525,0.65780585,0.83497554
1,SF,2,0.259443868,0.509356327,0.33146477,86.31016247,10.57839846,5.125901062,4.874197348,2.255821798,27.53059352,17.72394352,26.24024721,0.023618141,0.041227282,0.563286664,0.556,0.466625662,0.596159658
1,SF,3,0.317086686,0.563104507,0.381679721,85.99587306,10.31629337,5.363935119,4.936644398,2.494788548,32.2407332,22.4340832,27.53457713,0.028690497,0.049892036,0.516503788,0.505,0.627894427,0.755801428
1,SF,4,0.300907313,0.548550192,0.369466765,85.89843427,10.52642301,5.29947856,5.127427977,2.430599227,30.39601388,20.58936388,28.80727712,0.027509591,0.045634607,0.509434211,0.533,0.564554058,0.693183423
1,SF,5,0.317619918,0.563577783,0.409530607,86.30526377,9.828056864,5.366031114,4.723056824,2.506753924,32.49477352,22.68812352,28.65329288,0.029921838,0.052125993,0.448949149,0.455,0.698065754,0.900067269
1,SS,1,0.372850159,0.610614575,0.413792823,86.1251331,9.192996359,5.574342509,4.757226784,2.717443584,45.82158376,36.01493376,32.36627799,0.035721468,0.059644294,0.290660777,0.369,1.010434036,1.121389763
1,SS,2,0.442123069,0.664923356,0.469690728,86.23622797,9.629646143,5.814859293,4.995897898,2.965921348,43.04756931,33.24091931,33.00469034,0.039731864,0.061634603,0.345909644,0.389,1.136563159,1.207431176
1,SS,3,0.406492302,0.637567488,0.45463752,86.21381454,9.243715921,5.693708621,4.748930345,2.846440245,37.49074342,27.68409342,33.93307692,0.038621383,0.063905357,0.318841415,0.362,1.122906912,1.255904751
1,SS,4,0.346862863,0.588950646,0.409530607,86.14265799,9.20492667,5.47839967,4.532500437,2.610397037,36.92560775,27.11895775,33.1199439,0.035000857,0.058248329,0.357683787,0.38,0.912797008,1.077712125
1,SS,5,0.371685405,0.609660073,0.435434873,86.22449615,9.610455114,5.570115314,4.808602932,2.709979832,48.84551593,39.03886593,30.06071495,0.0342916,0.057928652,0.364458485,0.412,0.90214904,1.05688076
1,ST,1,0.341558574,0.584430128,0.370813953,86.23317221,9.155486744,5.458379694,4.644556552,2.604773352,40.63610221,30.82945221,31.94060858,0.032885266,0.055282327,0.314519208,0.377,0.905990913,0.983591388
1,ST,2,0.331553825,0.575807107,0.3548095,86.28130552,9.656663804,5.420191004,4.880509891,2.556333841,36.66275077,26.85610077,30.5212118,0.031291063,0.052466782,0.363751467,0.432,0.767485705,0.821318288
1,ST,3,0.312603792,0.559109821,0.302791351,86.20918008,8.592245041,5.346243891,4.295774994,2.481544744,48.5147869,38.7081369,35.1354693,0.034070244,0.058500732,0.259831168,0.331,0.944422332,0.914777496
1,ST,4,0.323886113,0.569109931,0.325121093,86.25492163,9.37203118,5.39053128,4.859905986,2.525923286,43.00647348,33.19982348,29.86774495,0.03103597,0.050987469,0.284826237,0.406,0.797749046,0.80079087
1,ST,5,0.3691961,0.607615092,0.358777516,86.14120464,8.228467525,5.561058725,4.262156787,2.693092787,63.39579325,53.58914325,39.68275129,0.040150543,0.064985942,0.179124868,0.272,1.357338602,1.319034986
