Parameter,"SF,SS","SS,ST","SF,ST"
Jump_Height_(Impulse),0.18352144893057648,-1.2704170169961153,-1.1038017981691568
Jump_Height_(Flight),0.09349764076028255,-1.2145874968625978,-1.1022421938138176
Bodyweight,-0.0020597626339946894,0.00607942009822987,0.00400007436787276
GRF_Impulse_(Normalized),-0.5937170631678038,-2.5214109241994738,-2.8535347140609333
Net_Impulse_(Normalized),0.18568143699488687,-1.2795921523008584,-1.1009065756038066
Concentric_GRF_Impulse_(Normalized),-0.36261965433451265,-2.331595933376298,-2.48544033922122
Concentric_Net_Impulse_(Normalized),0.18991584521878027,-1.2669700851327252,-1.0842860783976176
GRF_Max_(Normalized),0.6207359117270508,2.771608562173461,3.421552066937871
Net_F_Max_(Normalized),0.6207359117270487,2.771608562173463,3.42155206693787
GRF_at_Bottom_(Normalized),0.514453779556069,1.520679404528015,1.914671539972909
Average_Power_(Normalized),0.5825389953133665,0.24871638647474897,0.8179447906314107
Peak_Power_(Normalized),0.41521750849256234,0.122673553149122,0.49720170523992874
Depth,-0.7814471739156196,-2.2808711867048146,-3.0707022641285913
Contact_Time,-0.7033696328331097,-2.3664678950654983,-2.908460039461513
RSI_(Impulse),0.705279930509532,0.5763202811533318,1.3132563921449423
RSI_(Flight),0.6487214574562817,0.8631948878205468,1.5491795246299171
Stiffness,0.7593776717851928,2.796463283846106,3.720274340875457
Time_GRF_Max,-0.34622068838759124,-0.8504086291102032,-1.1417786442092233
Time_GRF_Ecc_Max,-0.34588081744659166,-0.8747335368017257,-1.1625543142943566
Time_GRF_Con_Max,-0.6780565927800103,-2.001964465394997,-1.7889376985263823
