Date and Time,Time (s),Vertical Force A (N),Vertical Force B (N)
10/26/2019 10:35:14 am,0.0,288.38,308.87
10/26/2019 10:35:14 am,0.001,288.63,308.85
10/26/2019 10:35:14 am,0.002,288.27,309.23
10/26/2019 10:35:14 am,0.003,287.9,309.2
10/26/2019 10:35:14 am,0.004,288.33,308.74
10/26/2019 10:35:14 am,0.005,288.38,309.14
10/26/2019 10:35:14 am,0.006,288.08,308.84
10/26/2019 10:35:14 am,0.006999999999999999,288.38,309.03
10/26/2019 10:35:14 am,0.008,288.25,308.98
10/26/2019 10:35:14 am,0.009000000000000001,288.52,308.73
10/26/2019 10:35:14 am,0.01,288.2,308.93
10/26/2019 10:35:14 am,0.011000000000000001,288.06,308.68
10/26/2019 10:35:14 am,0.012,288.17,308.8
10/26/2019 10:35:14 am,0.013000000000000001,287.95,308.58
10/26/2019 10:35:14 am,0.013999999999999999,288.01,308.65
10/26/2019 10:35:14 am,0.015,288.14,308.9
10/26/2019 10:35:14 am,0.016,288.17,309.22
10/26/2019 10:35:14 am,0.017,287.98,309.01
10/26/2019 10:35:14 am,0.018000000000000002,288.14,309.17
10/26/2019 10:35:14 am,0.019,288.63,309.15
10/26/2019 10:35:14 am,0.02,288.03,309.04
10/26/2019 10:35:14 am,0.021,288.41,309.11
10/26/2019 10:35:14 am,0.022000000000000002,288.19,308.84
10/26/2019 10:35:14 am,0.023,288.22,308.87
10/26/2019 10:35:14 am,0.024,288.03,308.82
10/26/2019 10:35:14 am,0.025,288.12,309.0
10/26/2019 10:35:14 am,0.026000000000000002,287.95,308.43
10/26/2019 10:35:14 am,0.027000000000000003,287.68,308.95
10/26/2019 10:35:14 am,0.027999999999999997,288.17,308.44
10/26/2019 10:35:14 am,0.028999999999999998,288.12,308.68
10/26/2019 10:35:14 am,0.03,287.63,309.0
10/26/2019 10:35:14 am,0.031,287.98,308.68
10/26/2019 10:35:14 am,0.032,288.33,308.87
10/26/2019 10:35:14 am,0.033,287.66,309.25
10/26/2019 10:35:14 am,0.034,287.82,308.71
10/26/2019 10:35:14 am,0.035,288.03,308.89
10/26/2019 10:35:14 am,0.036000000000000004,288.25,308.63
10/26/2019 10:35:14 am,0.037000000000000005,287.85,309.27
10/26/2019 10:35:14 am,0.038,288.04,308.68
10/26/2019 10:35:14 am,0.039,287.95,308.97
10/26/2019 10:35:14 am,0.04,287.71,308.79
10/26/2019 10:35:14 am,0.040999999999999995,288.03,308.71
10/26/2019 10:35:14 am,0.042,287.98,308.84
10/26/2019 10:35:14 am,0.043,288.06,308.82
10/26/2019 10:35:14 am,0.044000000000000004,288.2,308.79
10/26/2019 10:35:14 am,0.045,287.87,308.47
10/26/2019 10:35:14 am,0.046,288.33,308.57
10/26/2019 10:35:14 am,0.047,288.14,308.81
10/26/2019 10:35:14 am,0.048,287.76,308.63
10/26/2019 10:35:14 am,0.049,288.03,309.17
10/26/2019 10:35:14 am,0.05,287.79,309.24
10/26/2019 10:35:14 am,0.051,288.36,308.49
10/26/2019 10:35:14 am,0.052000000000000005,288.25,309.11
10/26/2019 10:35:14 am,0.053,288.09,308.35
10/26/2019 10:35:14 am,0.054000000000000006,288.01,308.71
10/26/2019 10:35:14 am,0.055,288.33,309.06
10/26/2019 10:35:14 am,0.055999999999999994,287.68,309.01
10/26/2019 10:35:14 am,0.057,288.14,308.3
10/26/2019 10:35:14 am,0.057999999999999996,288.03,309.14
10/26/2019 10:35:14 am,0.059000000000000004,288.63,308.71
10/26/2019 10:35:14 am,0.06,288.17,309.0
10/26/2019 10:35:14 am,0.061,287.98,309.14
10/26/2019 10:35:14 am,0.062,288.22,308.87
10/26/2019 10:35:14 am,0.063,288.49,309.01
10/26/2019 10:35:14 am,0.064,288.25,309.22
10/26/2019 10:35:14 am,0.065,288.38,308.43
10/26/2019 10:35:14 am,0.066,288.11,308.7
10/26/2019 10:35:14 am,0.067,287.9,309.08
10/26/2019 10:35:14 am,0.068,287.9,308.73
10/26/2019 10:35:14 am,0.069,287.82,308.97
10/26/2019 10:35:14 am,0.07,288.28,308.97
10/26/2019 10:35:14 am,0.071,287.71,309.06
10/26/2019 10:35:14 am,0.07200000000000001,287.79,308.52
10/26/2019 10:35:14 am,0.073,288.03,309.22
10/26/2019 10:35:14 am,0.07400000000000001,287.82,309.19
10/26/2019 10:35:14 am,0.075,288.03,308.76
10/26/2019 10:35:14 am,0.076,288.03,308.84
10/26/2019 10:35:14 am,0.077,288.12,308.95
10/26/2019 10:35:14 am,0.078,288.06,309.09
10/26/2019 10:35:14 am,0.079,287.76,309.3
10/26/2019 10:35:14 am,0.08,288.31,309.03
10/26/2019 10:35:14 am,0.081,287.95,308.92
10/26/2019 10:35:14 am,0.08199999999999999,287.87,308.92
10/26/2019 10:35:14 am,0.083,287.63,308.98
10/26/2019 10:35:14 am,0.084,287.95,309.08
10/26/2019 10:35:14 am,0.085,288.28,309.08
10/26/2019 10:35:14 am,0.086,287.63,308.98
10/26/2019 10:35:14 am,0.087,287.87,308.81
10/26/2019 10:35:14 am,0.08800000000000001,287.71,309.11
