Date and Time,Time (s),Vertical Force A (N),Vertical Force B (N)
10/26/2019 10:51:53 am,0.0,363.84,353.48
10/26/2019 10:51:53 am,0.001,363.38,353.32
10/26/2019 10:51:53 am,0.002,364.03,353.96
10/26/2019 10:51:53 am,0.003,364.35,353.47
10/26/2019 10:51:53 am,0.004,364.11,353.77
10/26/2019 10:51:53 am,0.005,364.87,353.8
10/26/2019 10:51:53 am,0.006,364.81,354.42
10/26/2019 10:51:53 am,0.006999999999999999,365.3,354.61
10/26/2019 10:51:53 am,0.008,364.79,354.69
10/26/2019 10:51:53 am,0.009000000000000001,365.25,354.45
10/26/2019 10:51:53 am,0.01,365.63,355.23
10/26/2019 10:51:53 am,0.011000000000000001,365.98,354.69
10/26/2019 10:51:53 am,0.012,365.65,354.82
10/26/2019 10:51:53 am,0.013000000000000001,366.33,355.36
10/26/2019 10:51:53 am,0.013999999999999999,365.95,355.66
10/26/2019 10:51:53 am,0.015,366.36,355.77
10/26/2019 10:51:53 am,0.016,366.46,355.85
10/26/2019 10:51:53 am,0.017,366.55,355.98
10/26/2019 10:51:53 am,0.018000000000000002,366.85,356.28
10/26/2019 10:51:53 am,0.019,366.65,356.68
10/26/2019 10:51:53 am,0.02,367.63,356.81
10/26/2019 10:51:53 am,0.021,367.28,357.46
10/26/2019 10:51:53 am,0.022000000000000002,367.3,357.2
10/26/2019 10:51:53 am,0.023,367.74,357.44
10/26/2019 10:51:53 am,0.024,368.03,357.62
10/26/2019 10:51:53 am,0.025,368.68,358.0
10/26/2019 10:51:53 am,0.026000000000000002,368.2,358.33
10/26/2019 10:51:53 am,0.027000000000000003,368.82,358.87
10/26/2019 10:51:53 am,0.027999999999999997,368.85,359.06
10/26/2019 10:51:53 am,0.028999999999999998,368.98,358.59
10/26/2019 10:51:53 am,0.03,369.25,359.6
10/26/2019 10:51:53 am,0.031,369.01,359.08
10/26/2019 10:51:53 am,0.032,368.99,359.47
10/26/2019 10:51:53 am,0.033,369.39,359.54
10/26/2019 10:51:53 am,0.034,369.69,359.95
