Date and Time,Time (s),Vertical Force A (N),Vertical Force B (N)
10/26/2019 09:53:43 am,0.0,391.47,451.43
10/26/2019 09:53:43 am,0.001,391.69,451.4
10/26/2019 09:53:43 am,0.002,391.8,451.4
10/26/2019 09:53:43 am,0.003,391.69,451.45
10/26/2019 09:53:43 am,0.004,391.85,450.97
10/26/2019 09:53:43 am,0.005,391.82,450.02
10/26/2019 09:53:43 am,0.006,392.02,450.54
10/26/2019 09:53:43 am,0.006999999999999999,392.04,449.86
10/26/2019 09:53:43 am,0.008,391.39,449.73
10/26/2019 09:53:43 am,0.009000000000000001,392.24,449.65
10/26/2019 09:53:43 am,0.01,392.21,449.3
10/26/2019 09:53:43 am,0.011000000000000001,392.12,449.43
10/26/2019 09:53:43 am,0.012,392.2,449.35
10/26/2019 09:53:43 am,0.013000000000000001,392.24,448.7
10/26/2019 09:53:43 am,0.013999999999999999,392.32,448.54
10/26/2019 09:53:43 am,0.015,392.64,447.97
10/26/2019 09:53:43 am,0.016,392.81,448.3
10/26/2019 09:53:43 am,0.017,392.89,447.81
10/26/2019 09:53:43 am,0.018000000000000002,393.16,447.81
10/26/2019 09:53:43 am,0.019,393.62,447.57
10/26/2019 09:53:43 am,0.02,393.87,447.43
10/26/2019 09:53:43 am,0.021,393.82,447.41
10/26/2019 09:53:43 am,0.022000000000000002,394.11,447.51
10/26/2019 09:53:43 am,0.023,393.98,447.25
10/26/2019 09:53:43 am,0.024,394.63,447.76
10/26/2019 09:53:43 am,0.025,394.58,447.49
10/26/2019 09:53:43 am,0.026000000000000002,394.5,447.35
10/26/2019 09:53:43 am,0.027000000000000003,394.96,447.24
10/26/2019 09:53:43 am,0.027999999999999997,394.9,447.14
10/26/2019 09:53:43 am,0.028999999999999998,395.58,447.54
10/26/2019 09:53:43 am,0.03,395.91,447.16
10/26/2019 09:53:43 am,0.031,396.13,447.51
10/26/2019 09:53:43 am,0.032,396.46,447.38
10/26/2019 09:53:43 am,0.033,396.73,447.43
10/26/2019 09:53:43 am,0.034,396.48,447.24
10/26/2019 09:53:43 am,0.035,397.11,447.3
10/26/2019 09:53:43 am,0.036000000000000004,397.33,447.3
10/26/2019 09:53:43 am,0.037000000000000005,397.92,447.49
10/26/2019 09:53:43 am,0.038,398.39,447.65
10/26/2019 09:53:43 am,0.039,398.09,447.73
10/26/2019 09:53:43 am,0.04,398.63,447.38
10/26/2019 09:53:43 am,0.040999999999999995,399.31,447.54
10/26/2019 09:53:43 am,0.042,399.64,447.81
10/26/2019 09:53:43 am,0.043,400.07,447.32
10/26/2019 09:53:43 am,0.044000000000000004,400.37,447.16
10/26/2019 09:53:43 am,0.045,400.64,447.32
10/26/2019 09:53:43 am,0.046,401.19,447.22
10/26/2019 09:53:43 am,0.047,401.89,447.7
10/26/2019 09:53:43 am,0.048,401.63,447.24
10/26/2019 09:53:43 am,0.049,402.17,446.97
10/26/2019 09:53:43 am,0.05,402.77,447.49
10/26/2019 09:53:43 am,0.051,402.88,446.76
10/26/2019 09:53:43 am,0.052000000000000005,403.61,446.76
10/26/2019 09:53:43 am,0.053,403.67,446.51
10/26/2019 09:53:43 am,0.054000000000000006,404.31,446.65
10/26/2019 09:53:43 am,0.055,404.23,446.76
