Date and Time,Time (s),Vertical Force A (N),Vertical Force B (N)
10/26/2019 10:04:38 am,0.0,578.08,526.13
10/26/2019 10:04:38 am,0.001,578.0,525.86
10/26/2019 10:04:38 am,0.002,577.79,525.72
10/26/2019 10:04:38 am,0.003,577.52,525.37
10/26/2019 10:04:38 am,0.004,577.84,525.91
10/26/2019 10:04:38 am,0.005,578.09,525.59
10/26/2019 10:04:38 am,0.006,578.14,525.1
10/26/2019 10:04:38 am,0.006999999999999999,577.6,525.72
10/26/2019 10:04:38 am,0.008,577.68,525.53
10/26/2019 10:04:38 am,0.009000000000000001,577.74,525.42
10/26/2019 10:04:38 am,0.01,577.41,525.32
10/26/2019 10:04:38 am,0.011000000000000001,577.71,525.53
10/26/2019 10:04:38 am,0.012,577.65,525.64
10/26/2019 10:04:38 am,0.013000000000000001,577.68,525.72
10/26/2019 10:04:38 am,0.013999999999999999,577.98,525.12
10/26/2019 10:04:38 am,0.015,577.85,525.02
10/26/2019 10:04:38 am,0.016,577.85,524.91
10/26/2019 10:04:38 am,0.017,577.93,524.72
10/26/2019 10:04:38 am,0.018000000000000002,577.87,525.04
10/26/2019 10:04:38 am,0.019,578.15,525.04
10/26/2019 10:04:38 am,0.02,577.82,524.34
10/26/2019 10:04:38 am,0.021,577.91,524.75
10/26/2019 10:04:38 am,0.022000000000000002,578.09,524.37
10/26/2019 10:04:38 am,0.023,578.47,523.96
10/26/2019 10:04:38 am,0.024,578.39,524.26
10/26/2019 10:04:38 am,0.025,578.18,523.96
10/26/2019 10:04:38 am,0.026000000000000002,578.42,523.99
10/26/2019 10:04:38 am,0.027000000000000003,577.82,524.34
10/26/2019 10:04:38 am,0.027999999999999997,578.18,523.77
10/26/2019 10:04:38 am,0.028999999999999998,578.1,523.88
10/26/2019 10:04:38 am,0.03,578.83,523.45
10/26/2019 10:04:38 am,0.031,578.15,523.5
10/26/2019 10:04:38 am,0.032,578.64,523.05
10/26/2019 10:04:38 am,0.033,578.07,523.42
10/26/2019 10:04:38 am,0.034,578.45,522.86
10/26/2019 10:04:38 am,0.035,578.64,522.94
10/26/2019 10:04:38 am,0.036000000000000004,578.42,522.88
10/26/2019 10:04:38 am,0.037000000000000005,578.48,522.86
10/26/2019 10:04:38 am,0.038,578.51,522.13
10/26/2019 10:04:38 am,0.039,578.4,522.48
10/26/2019 10:04:38 am,0.04,579.16,522.45
10/26/2019 10:04:38 am,0.040999999999999995,578.48,522.07
10/26/2019 10:04:38 am,0.042,578.62,521.86
10/26/2019 10:04:38 am,0.043,578.59,521.64
10/26/2019 10:04:38 am,0.044000000000000004,578.89,521.72
10/26/2019 10:04:38 am,0.045,578.98,521.24
10/26/2019 10:04:38 am,0.046,579.13,521.16
10/26/2019 10:04:38 am,0.047,579.35,520.83
10/26/2019 10:04:38 am,0.048,579.41,520.83
10/26/2019 10:04:38 am,0.049,579.08,520.81
10/26/2019 10:04:38 am,0.05,579.11,520.1
10/26/2019 10:04:38 am,0.051,579.9,520.24
10/26/2019 10:04:38 am,0.052000000000000005,579.55,520.4
10/26/2019 10:04:38 am,0.053,579.85,520.45
10/26/2019 10:04:38 am,0.054000000000000006,579.52,519.97
10/26/2019 10:04:38 am,0.055,579.52,520.08
10/26/2019 10:04:38 am,0.055999999999999994,579.44,519.94
10/26/2019 10:04:38 am,0.057,579.71,520.1
10/26/2019 10:04:38 am,0.057999999999999996,580.17,519.7
10/26/2019 10:04:38 am,0.059000000000000004,579.66,519.4
10/26/2019 10:04:38 am,0.06,580.09,519.59
10/26/2019 10:04:38 am,0.061,580.01,519.37
10/26/2019 10:04:38 am,0.062,579.63,519.29
10/26/2019 10:04:38 am,0.063,579.79,519.02
10/26/2019 10:04:38 am,0.064,579.99,518.75
10/26/2019 10:04:38 am,0.065,580.4,518.56
10/26/2019 10:04:38 am,0.066,580.4,518.56
10/26/2019 10:04:38 am,0.067,580.21,518.24
10/26/2019 10:04:38 am,0.068,580.13,518.51
10/26/2019 10:04:38 am,0.069,580.13,518.05
10/26/2019 10:04:38 am,0.07,580.54,518.02
10/26/2019 10:04:38 am,0.071,580.56,518.24
10/26/2019 10:04:38 am,0.07200000000000001,580.24,518.18
10/26/2019 10:04:38 am,0.073,580.78,517.97
10/26/2019 10:04:38 am,0.07400000000000001,580.56,518.07
10/26/2019 10:04:38 am,0.075,580.38,517.43
10/26/2019 10:04:38 am,0.076,580.89,517.45
10/26/2019 10:04:38 am,0.077,580.4,517.75
10/26/2019 10:04:38 am,0.078,581.11,517.29
10/26/2019 10:04:38 am,0.079,580.49,516.86
10/26/2019 10:04:38 am,0.08,581.76,517.24
10/26/2019 10:04:38 am,0.081,581.19,517.26
10/26/2019 10:04:38 am,0.08199999999999999,581.19,517.18
10/26/2019 10:04:38 am,0.083,580.84,517.24
10/26/2019 10:04:38 am,0.084,581.33,516.94
10/26/2019 10:04:38 am,0.085,581.6,516.91
10/26/2019 10:04:38 am,0.086,581.27,516.97
10/26/2019 10:04:38 am,0.087,581.65,517.26
10/26/2019 10:04:38 am,0.08800000000000001,581.71,516.78
10/26/2019 10:04:38 am,0.08900000000000001,581.93,516.34
10/26/2019 10:04:38 am,0.09,582.31,516.88
10/26/2019 10:04:38 am,0.091,582.07,516.59
10/26/2019 10:04:38 am,0.092,581.82,516.86
10/26/2019 10:04:38 am,0.09300000000000001,582.47,516.88
10/26/2019 10:04:38 am,0.094,582.07,516.53
10/26/2019 10:04:38 am,0.095,581.87,515.78
10/26/2019 10:04:38 am,0.096,582.09,515.96
10/26/2019 10:04:38 am,0.09699999999999999,582.56,516.48
10/26/2019 10:04:38 am,0.098,582.61,516.53
10/26/2019 10:04:38 am,0.099,582.18,516.72
10/26/2019 10:04:38 am,0.1,582.45,517.1
10/26/2019 10:04:38 am,0.10099999999999999,582.13,516.45
10/26/2019 10:04:38 am,0.102,582.36,516.15
10/26/2019 10:04:38 am,0.10300000000000001,582.56,516.21
10/26/2019 10:04:38 am,0.10400000000000001,582.31,516.58
10/26/2019 10:04:38 am,0.105,582.23,516.47
10/26/2019 10:04:38 am,0.106,582.2,516.28
10/26/2019 10:04:38 am,0.107,582.15,516.96
10/26/2019 10:04:38 am,0.10800000000000001,582.23,516.07
10/26/2019 10:04:38 am,0.109,582.5,516.15
10/26/2019 10:04:38 am,0.11,582.13,516.55
10/26/2019 10:04:38 am,0.111,581.83,516.23
10/26/2019 10:04:38 am,0.11199999999999999,582.8,516.85
10/26/2019 10:04:38 am,0.113,582.31,516.74
