,,GRF_1h_(Normalized),GRF_1h_(Normalized),GRF_1l_(Normalized),GRF_1l_(Normalized),GRF_2h_(Normalized),GRF_2h_(Normalized),GRF_2l_(Normalized),GRF_2l_(Normalized),GRF_(Normalized),GRF_(Normalized),GRF_diff_(Normalized),GRF_diff_(Normalized),Impulse_1h_(Normalized),Impulse_1h_(Normalized),Impulse_1l_(Normalized),Impulse_1l_(Normalized),Velocity,Velocity
,,mean,r_CI,mean,r_CI,mean,r_CI,mean,r_CI,mean,r_CI,mean,r_CI,mean,r_CI,mean,r_CI,mean,r_CI
Style,Time,,,,,,,,,,,,,,,,,,
SF,0.0,27.535,4.097858268612148,24.96976923076923,4.437750365716903,0.4573784240842063,0.05525663284378088,0.22621551604711154,0.04988857159544724,0.6835939401313179,0.05102057859033385,0.5827895525466317,0.050246584453504016,415.5419349919392,12.351638758479197,380.301299442941,11.68161134527493,-2.7350452741223723,0.04536291226700082
SF,1.0,63.336615384615385,9.641757495353284,60.31176923076923,10.538879098177214,1.0892916411515663,0.13334231091743964,0.5118160906685026,0.11378375382543274,1.601107731820069,0.13902216187542565,1.2740513823812192,0.12363249387378801,415.5873707996315,12.35368475618963,380.34394021217173,11.682566020578246,-2.7437095732863965,0.04533400452949892
SF,2.0,96.82246153846154,13.816161419219439,104.65415384615385,19.148637039087287,1.759282990798654,0.23527294156958492,0.8620226518410695,0.17862443095923597,2.6213056426397237,0.2643438024569062,1.8509226704645396,0.2238255640757085,415.66745033809303,12.357296395574794,380.4264231737102,11.684791825248125,-2.7514050165991666,0.045275689198908245
SF,3.0,115.89207692307691,15.566033165139432,126.41084615384615,22.1922560359297,2.006922160731362,0.25818433954349745,1.1330811268724637,0.2096484173346221,3.1400032876038253,0.3337386209090021,1.8663278386977904,0.23074265771003336,415.77380760732376,12.36160225775558,380.5419556737102,11.689275661217689,-2.758331012134045,0.04519851915791366
SF,4.0,130.49800000000002,17.497709305376752,132.48053846153846,20.25601784327851,2.045308575093136,0.21812475356731212,1.3225997487307581,0.22424819393069784,3.3679083238238943,0.33456437125796046,1.701950926194928,0.18542861607076538,415.89700264578534,12.366700313171398,380.6714013660179,11.696264791564078,-2.7648837063283307,0.045109671011744894
SF,5.0,154.64430769230768,20.369371885113168,154.36246153846153,23.137112335599763,2.397932428696948,0.23486743816749237,1.53048188961806,0.24828444909552236,3.928414318315008,0.37148575310595994,1.8736254763886528,0.19548634540697046,416.03957379963146,12.37367395532153,380.8148228660179,11.705510646679821,-2.7710421950072615,0.044998489900648767
SF,6.0,198.27638461538461,25.133079459428927,197.35330769230768,29.991505103987674,3.1330212977040977,0.29922915433859637,1.901769158033769,0.2956137032283776,5.034790455737866,0.44294147308733556,2.3794546668428485,0.26715466335121685,416.21603414578533,12.383290659662265,380.99068075063326,11.717239438658908,-2.776367242620235,0.04485266005174189
SF,7.0,260.9263846153846,32.46038393587277,250.34315384615385,36.875989953018895,4.025863798511939,0.3761488331490326,2.5024936635067885,0.3799480351254498,6.528357462018728,0.5566307991087696,3.046921523121057,0.34197141345483856,416.44563553040075,12.395870667435268,381.2145289814025,11.73152900420184,-2.7803923186613564,0.04467187220184516
